record_id,record_grain,circle,circle_short_name,region_name,state_name,city_name,pr_created_by,project_name,sub_project_name,project_id,site_id,site_name,site_type,technology,budget_category_name,natural_account,po_number,po_line_id,line_number,po_type,po_status,vendor_id,vendor_name,buyer_name,project_manager_name,po_date,delivery_start_date,delivery_end_date,need_by_date,promised_date,payment_terms,po_description,item_code,item_description,material_service,item_head,item_sub,item_sub_sub,uom,unit_price_inr,quantity_ordered,quantity_received_line_total,quantity_cancelled_line_total,quantity_billed_to_date,quantity_open_line_total,po_line_amount_inr,received_amount_line_total_inr,billed_amount_to_date_inr,open_po_amount_inr,line_closure_status,shipment_line_status_code,fulfilment_event_number,receipt_type,grn_service_entry_number,grn_service_entry_date,event_received_quantity,event_accepted_quantity,event_rejected_quantity,event_receipt_amount_inr,receipt_status,inspection_status,rfai_date,isq_short_status,isq_milestone,invoice_number,invoice_date,invoice_quantity,invoice_basic_amount_inr,invoice_tax_amount_inr,invoice_total_amount_inr,invoice_status,three_way_match_status,hold_reason,payment_status,payment_date,po_ageing_days,po_ageing_slab,delivery_delay_days,rfai_ageing_days,rfai_ageing_slab,invoice_ageing_days,invoice_ageing_slab,receipt_completion_pct,billing_completion_pct,delayed_po_flag,invoice_without_receipt_flag,overbilling_flag,closure_readiness_flag,wcc_status,amendment_status,as_of_date
REC-000011,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Madurai,Neha Kulkarni,Tamil Nadu New Tower Rollout,Phase 1 Urban,PRJ-TOWER-NEWBUILD-TN-2025,TN-MAD-6264,Madurai Site 6264,Ground Based Tower,4G,CAPEX,540210,PO-2025-00004,PO-2025-00004-001,1,Service,Partially Fulfilled,V015,CoreLink Equipment India,Neha Kulkarni,Rahul Deshmukh,2025-07-27,2025-08-12,2025-11-06,2025-10-30,2025-11-08,30 days from invoice,Service PO for Site security and access management at Madurai Site 6264,SRV-SECURITY,Site security and access management,Service,Managed Services,Site Security,Security Service,MONTH,32200,33,26.77,0,5.45,6.23,1062600,861994.0,175490.0,200606.0,Partially Fulfilled,Partially Fulfilled,2,Service Entry Sheet,SES-2025-000011,2025-11-02,20.73,20.73,0.0,667506.0,Accepted,Passed,2025-11-01,Closed,Milestone Certified,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,354,>180 days,-6,257,>180 days,,,81.12,16.52,Y,N,N,N,Approved,No Amendment,2026-07-16
REC-000012,PO_LINE_FULFILMENT_ALLOCATION,Tamil Nadu,TN,South,Tamil Nadu,Madurai,Neha Kulkarni,Tamil Nadu New Tower Rollout,Phase 1 Urban,PRJ-TOWER-NEWBUILD-TN-2025,TN-MAD-9916,Madurai Site 9916,Pole Site,Transmission,CAPEX,540210,PO-2025-00004,PO-2025-00004-002,2,Service,Partially Fulfilled,V015,CoreLink Equipment India,Neha Kulkarni,Rahul Deshmukh,2025-07-27,2025-08-12,2025-11-06,2025-11-17,2025-11-22,30 days from invoice,Service PO for RF and structural site survey at Madurai Site 9916,SRV-SURVEY,RF and structural site survey,Service,Professional Services,Survey,Site Survey,SITE,40700,13,9.62,0,8.53,3.38,529100,391534.0,347171.0,137566.0,Partially Fulfilled,Partially Fulfilled,1,Service Entry Sheet,SES-2025-000012,2025-09-12,9.62,9.62,0.0,391534.0,Accepted,Passed,2025-09-08,Accepted,Service Entry Approved,INV-V015-2025-000012,2025-10-03,8.53,347171.0,62490.78,409661.78,Booked,Matched,,Overdue,,354,>180 days,-71,311,>180 days,286,>180 days,74.0,65.62,Y,N,N,N,Submitted,No Amendment,2026-07-16
REC-000013,PO_LINE_FULFILMENT_ALLOCATION,Karnataka,KA,South,Karnataka,Mysuru,Meera Nair,Karnataka 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-KA-2025,KA-MYS-9934,Mysuru Site 9934,IBS,Transmission,OPEX,610140,PO-2025-00005,PO-2025-00005-001,1,Supply,Fully Fulfilled,V008,Zenith Power Solutions,Meera Nair,Nitin Bose,2025-09-11,2025-10-06,2026-03-22,2025-11-22,2025-11-27,60 days from invoice,Supply PO for 5G Baseband Unit at Mysuru Site 9934,MAT-BBU-5G,5G Baseband Unit,Material,Active Equipment,Baseband,5G BBU,EA,399400,37,37.0,0,10.76,0,14777800,14777800.0,4297544.0,0,Fully Fulfilled,Fully Fulfilled,1,GRN,GRN-2025-000013,2025-11-08,14.59,14.59,0.0,5827246.0,Accepted,Passed,2025-11-07,Accepted,Installation Completed,INV-V008-2025-000013,2025-11-14,10.76,4297544.0,773557.92,5071101.92,Approved,Matched,,Overdue,,308,>180 days,-19,251,>180 days,244,>180 days,100.0,29.08,N,N,N,Y,Not Required,Amended,2026-07-16
REC-000014,PO_LINE_FULFILMENT_ALLOCATION,Karnataka,KA,South,Karnataka,Mysuru,Meera Nair,Karnataka 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-KA-2025,KA-MYS-9934,Mysuru Site 9934,IBS,Transmission,OPEX,610140,PO-2025-00005,PO-2025-00005-001,1,Supply,Fully Fulfilled,V008,Zenith Power Solutions,Meera Nair,Nitin Bose,2025-09-11,2025-10-06,2026-03-22,2025-11-22,2025-11-27,60 days from invoice,Supply PO for 5G Baseband Unit at Mysuru Site 9934,MAT-BBU-5G,5G Baseband Unit,Material,Active Equipment,Baseband,5G BBU,EA,399400,37,37.0,0,29.12,0,14777800,14777800.0,11630528.0,0,Fully Fulfilled,Fully Fulfilled,2,GRN,GRN-2025-000014,2025-11-12,22.41,22.41,0.0,8950554.0,Accepted,Passed,2025-11-12,Completed,Site Acceptance,INV-V008-2025-000014,2025-12-22,18.36,7332984.0,1319937.12,8652921.12,Booked,Matched,,Overdue,,308,>180 days,-15,246,>180 days,206,>180 days,100.0,78.7,N,N,N,N,Not Required,No Amendment,2026-07-16
REC-000015,PO_LINE_FULFILMENT_ALLOCATION,Karnataka,KA,South,Karnataka,Mysuru,Meera Nair,Karnataka 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-KA-2025,KA-MYS-4573,Mysuru Site 4573,IBS,5G,OPEX,610140,PO-2025-00005,PO-2025-00005-002,2,Supply,Finally Closed,V008,Zenith Power Solutions,Meera Nair,Nitin Bose,2025-09-11,2025-10-06,2026-03-22,2026-01-23,2026-01-24,60 days from invoice,Supply PO for Lithium-Ion Battery Bank at Mysuru Site 4573,MAT-BATT-LI,Lithium-Ion Battery Bank,Material,Power Equipment,Energy Storage,Battery Bank,SET,173700,2,2.0,0,0.78,0,347400,347400.0,135486.0,0,Fully Fulfilled,Fully Fulfilled,1,GRN,GRN-2025-000015,2025-10-26,0.89,0.85,0.04,147645.0,Partially Accepted,Passed with Rejection,2025-10-23,Completed,Material Delivered,INV-V008-2025-000015,2025-11-07,0.78,135486.0,24387.48,159873.48,Paid,Matched,,Paid,2026-01-01,308,>180 days,-90,266,>180 days,251,>180 days,100.0,39.0,N,N,N,Y,Not Required,No Amendment,2026-07-16
REC-000016,PO_LINE_FULFILMENT_ALLOCATION,Karnataka,KA,South,Karnataka,Mysuru,Meera Nair,Karnataka 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-KA-2025,KA-MYS-4573,Mysuru Site 4573,IBS,5G,OPEX,610140,PO-2025-00005,PO-2025-00005-002,2,Supply,Finally Closed,V008,Zenith Power Solutions,Meera Nair,Nitin Bose,2025-09-11,2025-10-06,2026-03-22,2026-01-23,2026-01-24,60 days from invoice,Supply PO for Lithium-Ion Battery Bank at Mysuru Site 4573,MAT-BATT-LI,Lithium-Ion Battery Bank,Material,Power Equipment,Energy Storage,Battery Bank,SET,173700,2,2.0,0,1.86,0,347400,347400.0,323082.0,0,Fully Fulfilled,Fully Fulfilled,2,GRN,GRN-2025-000016,2025-10-02,1.11,1.11,0.0,192807.0,Accepted,Passed,2025-09-27,Closed,Site Acceptance,INV-V008-2025-000016,2025-10-19,1.08,187596.0,33767.28,221363.28,Paid,Matched,,Paid,2025-12-15,308,>180 days,-114,292,>180 days,270,>180 days,100.0,93.0,N,N,N,Y,Not Required,No Amendment,2026-07-16
REC-000017,PO_LINE_FULFILMENT_ALLOCATION,Karnataka,KA,South,Karnataka,Mysuru,Meera Nair,Karnataka 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-KA-2025,KA-MYS-0716,Mysuru Site 0716,Pole Site,Transmission,OPEX,610140,PO-2025-00005,PO-2025-00005-003,3,Supply,Partially Fulfilled,V008,Zenith Power Solutions,Meera Nair,Nitin Bose,2025-09-11,2025-10-06,2026-03-22,2025-11-28,2025-11-29,60 days from invoice,Supply PO for 48V Telecom Rectifier System at Mysuru Site 0716,MAT-RECT-48V,48V Telecom Rectifier System,Material,Power Equipment,DC Power,Rectifier,EA,116300,9,2.42,0,1.64,6.58,1046700,281446.0,190732.0,765254.0,Partially Fulfilled,Partially Fulfilled,1,GRN,GRN-2025-000017,2025-12-30,1.96,1.96,0.0,227948.0,Accepted,Passed,2025-12-29,Closed,Commissioning Complete,INV-V008-2026-000017,2026-01-28,1.64,190732.0,34331.76,225063.76,On Hold,Price Variance,GRN mismatch,On Hold,,308,>180 days,31,199,>180 days,169,91-180 days,26.89,18.22,Y,N,N,N,Not Required,No Amendment,2026-07-16
REC-000018,PO_LINE_FULFILMENT_ALLOCATION,Karnataka,KA,South,Karnataka,Mysuru,Meera Nair,Karnataka 5G Network Expansion,Phase 1 Urban,PRJ-5G-ROLLOUT-KA-2025,KA-MYS-0716,Mysuru Site 0716,Pole Site,Transmission,OPEX,610140,PO-2025-00005,PO-2025-00005-003,3,Supply,Partially Fulfilled,V008,Zenith Power Solutions,Meera Nair,Nitin Bose,2025-09-11,2025-10-06,2026-03-22,2025-11-28,2025-11-29,60 days from invoice,Supply PO for 48V Telecom Rectifier System at Mysuru Site 0716,MAT-RECT-48V,48V Telecom Rectifier System,Material,Power Equipment,DC Power,Rectifier,EA,116300,9,2.42,0,1.64,6.58,1046700,281446.0,190732.0,765254.0,Partially Fulfilled,Partially Fulfilled,2,GRN,GRN-2025-000018,2025-10-17,0.46,0.46,0.0,53498.0,Accepted,Passed,2025-10-14,Completed,Installation Completed,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,308,>180 days,-43,275,>180 days,,,26.89,18.22,Y,N,N,N,Not Required,Amended,2026-07-16
REC-000019,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Meera Nair,Maharashtra 4G Capacity Densification,Priority Sites,PRJ-4G-DENS-MH-2025,MH-NAG-6885,Nagpur Site 6885,Small Cell,4G/5G,CAPEX,610140,PO-2025-00006,PO-2025-00006-001,1,Service,Fully Fulfilled,V004,NexWave Radio Systems India,Meera Nair,Kavita Joshi,2025-12-08,2026-01-04,2026-06-25,2026-04-23,2026-04-26,45 days from invoice,Service PO for RF and structural site survey at Nagpur Site 6885,SRV-SURVEY,RF and structural site survey,Service,Professional Services,Survey,Site Survey,SITE,55100,33,33.0,0,11.11,0,1818300,1818300.0,612161.0,0,Fully Fulfilled,Fully Fulfilled,1,Service Entry Sheet,SES-2026-000019,2026-03-01,12.98,12.98,0.0,715198.0,Accepted,Passed,2026-02-24,Closed,Work Completion Confirmed,INV-V004-2026-000019,2026-03-23,11.11,612161.0,110188.98,722349.98,Booked,Quantity Variance,,Overdue,,220,>180 days,-56,142,91-180 days,115,91-180 days,100.0,33.67,N,N,N,N,Submitted,No Amendment,2026-07-16
REC-000020,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Meera Nair,Maharashtra 4G Capacity Densification,Priority Sites,PRJ-4G-DENS-MH-2025,MH-NAG-6885,Nagpur Site 6885,Small Cell,4G/5G,CAPEX,610140,PO-2025-00006,PO-2025-00006-001,1,Service,Fully Fulfilled,V004,NexWave Radio Systems India,Meera Nair,Kavita Joshi,2025-12-08,2026-01-04,2026-06-25,2026-04-23,2026-04-26,45 days from invoice,Service PO for RF and structural site survey at Nagpur Site 6885,SRV-SURVEY,RF and structural site survey,Service,Professional Services,Survey,Site Survey,SITE,55100,33,33.0,0,20.75,0,1818300,1818300.0,1143325.0,0,Fully Fulfilled,Fully Fulfilled,2,Service Entry Sheet,SES-2026-000020,2026-05-25,14.94,14.21,0.73,782971.0,Partially Accepted,Passed with Rejection,2026-05-24,Completed,Milestone Certified,INV-V004-2026-000020,2026-06-27,9.64,531164.0,95609.52,626773.52,Approved,Matched,,Due,,220,>180 days,29,53,31-60 days,19,0-30 days,100.0,62.88,N,N,N,Y,Pending,No Amendment,2026-07-16
REC-000021,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Meera Nair,Maharashtra 4G Capacity Densification,Priority Sites,PRJ-4G-DENS-MH-2025,MH-NAG-6885,Nagpur Site 6885,Small Cell,4G/5G,CAPEX,610140,PO-2025-00006,PO-2025-00006-001,1,Service,Fully Fulfilled,V004,NexWave Radio Systems India,Meera Nair,Kavita Joshi,2025-12-08,2026-01-04,2026-06-25,2026-04-23,2026-04-26,45 days from invoice,Service PO for RF and structural site survey at Nagpur Site 6885,SRV-SURVEY,RF and structural site survey,Service,Professional Services,Survey,Site Survey,SITE,55100,33,33.0,0,20.75,0,1818300,1818300.0,1143325.0,0,Fully Fulfilled,Fully Fulfilled,3,Service Entry Sheet,SES-2026-000021,2026-01-06,5.08,5.08,0.0,279908.0,Accepted,Passed,2026-01-01,Accepted,Milestone Certified,,,0,0,0,0,Not Invoiced,Not Applicable,,Not Due,,220,>180 days,-110,196,>180 days,,,100.0,62.88,N,N,N,N,Submitted,No Amendment,2026-07-16
REC-000022,PO_LINE_FULFILMENT_ALLOCATION,Maharashtra,MH,West,Maharashtra,Nagpur,Meera Nair,Maharashtra 4G Capacity Densification,Priority Sites,PRJ-4G-DENS-MH-2025,MH-NAG-4531,Nagpur Site 4531,IBS,Transmission,CAPEX,610140,PO-2025-00006,PO-2025-00006-002,2,Service,Partially Fulfilled,V004,NexWave Radio Systems India,Meera Nair,Kavita Joshi,2025-12-08,2026-01-04,2026-06-25,2026-02-26,2026-03-10,45 days from invoice,Service PO for Electrical power integration and testing at Nagpur Site 4531,SRV-POWER,Electrical power integration and testing,Service,Installation Services,Power Integration,Electrical Integration,SITE,84200,17,10.73,0,4.71,6.27,1431400,903466.0,396582.0,527934.0,Partially Fulfilled,Partially Fulfilled,1,Service Entry Sheet,SES-2026-000022,2026-01-21,5.19,4.78,0.41,402476.0,Partially Accepted,Passed with Rejection,2026-01-18,Completed,Service Entry Approved,INV-V004-2026-000022,2026-02-25,4.71,396582.0,71384.76,467966.76,Approved,Matched,,Overdue,,220,>180 days,-48,179,91-180 days,141,91-180 days,63.12,27.71,Y,N,N,N,Not Required,Amended,2026-07-16
